Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults_Delta
1747422132.8329988,Windows,BT7274_BT7274,BT7274,11520.265625,15111.8203125,18.0,3467
1747422133.3457074,Windows,BT7274_BT7274,BT7274,11517.73046875,15112.08203125,12.5,3560
1747422133.8633223,Windows,BT7274_BT7274,BT7274,11517.73046875,15112.08203125,12.5,3560
1747422134.4243774,Windows,BT7274_BT7274,BT7274,11516.20703125,15113.05859375,17.3,4159
1747422134.9288645,Windows,BT7274_BT7274,BT7274,11512.5546875,15118.1328125,18.9,4159
1747422135.4695625,Windows,BT7274_BT7274,BT7274,11511.67578125,15119.21875,15.8,3733
1747422135.976413,Windows,BT7274_BT7274,BT7274,11511.67578125,15119.21875,15.8,3733
1747422136.5076814,Windows,BT7274_BT7274,BT7274,11511.734375,15118.4375,17.4,3208
1747422137.0208366,Windows,BT7274_BT7274,BT7274,11510.55859375,15119.0703125,14.3,3208
1747422137.5396137,Windows,BT7274_BT7274,BT7274,11511.5703125,15118.4453125,16.1,3325
1747422138.1612668,Windows,BT7274_BT7274,BT7274,11539.5234375,15273.61328125,19.7,3325
1747422138.805332,Windows,BT7274_BT7274,BT7274,11542.09375,15416.703125,43.6,4809
1747422139.4077852,Windows,BT7274_BT7274,BT7274,11572.4140625,15523.40234375,42.5,4809
1747422140.005985,Windows,BT7274_BT7274,BT7274,11598.109375,15641.921875,41.5,3286
1747422140.5202053,Windows,BT7274_BT7274,BT7274,11598.109375,15641.921875,41.5,3286
1747422141.118336,Windows,BT7274_BT7274,BT7274,11598.59375,15677.234375,41.6,3286
1747422141.7268624,Windows,BT7274_BT7274,BT7274,11602.42578125,15692.703125,41.2,3381
1747422142.3396633,Windows,BT7274_BT7274,BT7274,11595.2421875,15699.98046875,34.5,3381
1747422142.947504,Windows,BT7274_BT7274,BT7274,11617.82421875,15701.828125,30.6,3677
1747422143.5737941,Windows,BT7274_BT7274,BT7274,11622.453125,15702.05078125,29.6,3677
1747422144.230086,Windows,BT7274_BT7274,BT7274,11615.84765625,15701.87890625,32.2,4798
1747422144.8427339,Windows,BT7274_BT7274,BT7274,11607.45703125,15707.46484375,27.0,4798
1747422145.534657,Windows,BT7274_BT7274,BT7274,11600.3515625,15703.14453125,31.5,3375
1747422146.144555,Windows,BT7274_BT7274,BT7274,11597.20703125,15715.265625,33.5,3375
1747422146.7212944,Windows,BT7274_BT7274,BT7274,11594.3125,15708.9140625,30.4,3521
1747422147.2983363,Windows,BT7274_BT7274,BT7274,11599.1328125,15708.75,27.1,3521
1747422147.9037967,Windows,BT7274_BT7274,BT7274,11598.38671875,15712.98046875,33.4,3498
1747422148.5168,Windows,BT7274_BT7274,BT7274,11600.9453125,15714.7734375,32.8,3498
1747422149.1259828,Windows,BT7274_BT7274,BT7274,11607.390625,15718.0390625,33.0,4107
1747422149.6403391,Windows,BT7274_BT7274,BT7274,11607.390625,15718.0390625,33.0,4107
1747422150.260401,Windows,BT7274_BT7274,BT7274,11602.4375,15722.171875,37.6,4107
1747422150.8809092,Windows,BT7274_BT7274,BT7274,11603.9765625,15729.4375,32.1,3588
1747422151.5219448,Windows,BT7274_BT7274,BT7274,11611.12109375,15729.1015625,34.2,3588
1747422152.162562,Windows,BT7274_BT7274,BT7274,11603.90234375,15727.10546875,37.8,4402
1747422152.7574456,Windows,BT7274_BT7274,BT7274,11596.765625,15728.3828125,38.5,4402
1747422153.2692988,Windows,BT7274_BT7274,BT7274,11596.765625,15728.3828125,38.5,4402
1747422153.8789527,Windows,BT7274_BT7274,BT7274,11605.609375,15727.9765625,41.3,4281
1747422154.481336,Windows,BT7274_BT7274,BT7274,11604.72265625,15728.80859375,36.5,4281
1747422155.0754561,Windows,BT7274_BT7274,BT7274,11599.80859375,15724.98828125,26.4,3490
1747422155.681202,Windows,BT7274_BT7274,BT7274,11595.60546875,15720.49609375,29.1,3490
1747422156.3206692,Windows,BT7274_BT7274,BT7274,11597.2109375,15707.40234375,32.3,4282
1747422156.9309893,Windows,BT7274_BT7274,BT7274,11591.12109375,15705.0546875,30.7,4282
1747422157.5450509,Windows,BT7274_BT7274,BT7274,11589.703125,15712.1328125,26.0,3567
1747422158.1597688,Windows,BT7274_BT7274,BT7274,11587.765625,15711.5625,23.7,3567
1747422158.7687087,Windows,BT7274_BT7274,BT7274,11589.41015625,15710.41796875,21.4,4035
1747422159.375352,Windows,BT7274_BT7274,BT7274,11591.05859375,15711.3984375,18.2,4035
1747422159.968991,Windows,BT7274_BT7274,BT7274,11588.3125,15710.1484375,18.8,3454
1747422160.5337367,Windows,BT7274_BT7274,BT7274,11589.390625,15709.67578125,23.9,3454
1747422161.0853035,Windows,BT7274_BT7274,BT7274,11586.0546875,15703.8046875,19.0,3173
1747422161.6334963,Windows,BT7274_BT7274,BT7274,11585.87109375,15700.52734375,19.1,3173
1747422162.1620812,Windows,BT7274_BT7274,BT7274,11580.3984375,15592.609375,17.2,3445
1747422162.6631927,Windows,BT7274_BT7274,BT7274,11519.3828125,15566.890625,18.2,3445
1747422163.1641614,Windows,BT7274_BT7274,BT7274,11513.3359375,15293.8984375,19.5,2751
1747422163.6693594,Windows,BT7274_BT7274,BT7274,11487.04296875,14759.578125,23.0,2751
1747422164.187041,Windows,BT7274_BT7274,BT7274,11487.04296875,14759.578125,23.0,3781
1747422164.735755,Windows,BT7274_BT7274,BT7274,11457.0,14586.1640625,22.3,3781
1747422165.2924135,Windows,BT7274_BT7274,BT7274,11377.83203125,14346.1875,19.8,3643
1747422165.795157,Windows,BT7274_BT7274,BT7274,11377.83203125,14346.1875,19.8,3643
1747422166.318385,Windows,BT7274_BT7274,BT7274,11364.6640625,14291.59375,14.9,3227
1747422166.8259127,Windows,BT7274_BT7274,BT7274,11358.578125,14291.3984375,15.4,3227
1747422167.333825,Windows,BT7274_BT7274,BT7274,11358.0390625,14291.8828125,14.7,3427
1747422167.844536,Windows,BT7274_BT7274,BT7274,11358.51171875,14123.60546875,15.3,3427
1747422168.3464215,Windows,BT7274_BT7274,BT7274,11302.71875,14099.296875,15.8,2736
1747422168.8502898,Windows,BT7274_BT7274,BT7274,11281.55859375,14068.80859375,14.8,2736
